iter	Logloss
0	0.487350676
1	0.3468241578
2	0.2282142024
3	0.1607928431
4	0.1118359906
5	0.07997335211
6	0.05778480732
7	0.04015357247
8	0.02954216683
9	0.02185083836
10	0.01621108735
11	0.0123899989
12	0.0095511937
13	0.007414814576
14	0.005873559611
15	0.004460640248
16	0.003668540591
17	0.002977778687
18	0.002426975913
19	0.001987027503
20	0.001658512441
21	0.001393111982
22	0.001196116323
23	0.001007055595
24	0.0008692144009
25	0.0007602190845
26	0.0006621930683
27	0.0005789559227
28	0.0005117725882
29	0.0004525121117
30	0.0004080975566
31	0.0003654407838
32	0.0003271309846
33	0.0002942725436
34	0.0002667447256
35	0.0002449034374
36	0.0002193039135
37	0.0001994562346
38	0.0001827832683
39	0.000170668284
40	0.0001584706856
41	0.0001467272506
42	0.0001364131928
43	0.0001269759222
44	0.0001173262176
45	0.0001110611849
46	0.0001041179303
47	9.876700876e-05
48	9.279234728e-05
49	8.840826569e-05
50	8.431930213e-05
