iter	Passed	Remaining
0	5	2727
1	10	2658
2	14	2384
3	19	2476
4	25	2494
5	30	2483
6	35	2473
7	38	2396
8	44	2420
9	49	2418
10	54	2437
11	60	2452
12	66	2474
13	71	2487
14	76	2478
15	81	2452
16	86	2449
17	91	2452
18	96	2454
19	102	2451
20	107	2448
21	112	2448
22	117	2445
23	122	2432
24	128	2435
25	134	2447
26	139	2439
27	144	2431
28	149	2424
29	154	2418
30	159	2415
31	164	2412
32	169	2402
33	175	2400
34	180	2391
35	185	2386
36	190	2377
37	194	2367
38	200	2366
39	205	2364
40	210	2358
41	216	2356
42	220	2348
43	225	2340
44	230	2330
45	235	2323
46	240	2320
47	246	2317
48	251	2315
49	256	2306
50	260	2293
